Server ID,Operating System,OS Version,Decommission Deadline,Decommission Status,Location,Server Age,Usage,Criticality,Replacement Plan,Data Migration Status,Responsible Team,Maintenance History,Performance Metrics,Hardware Specs,Software Dependencies,Compliance Requirements,Security Risks,Maintenance Cost,Energy Consumption,Virtualization Suitability,Backup Status,Disaster Recovery Plan,Stakeholder Feedback,Project Milestones,Vendor Support,Environmental Impact,End-of-Life Date,Notes,Last Updated
Srv329,Linux,Windows Server 2016,5/05/2025,In Progress,On-Premise,2 years,Development Server,Medium,Yes,N/A,Team IT Operations,Quarterly checks,99.07% uptime,"8GB RAM, 500GB SSD",MySQL,GDPR Compliance,None,$5374/year,206W,Yes,Not Configured,Defined,Concerns about data migration,Q1 Server Review,Unsupported,Hardware recycling,28/12/2028,See notes,28/08/2024
Srv330,Linux,Red Hat Enterprise Linux,26/01/2027,Delayed,On-Premise,4 years,Database Server,Low,No,In Progress,Team Analytics Team,Annual maintenance,99.85% uptime,"32GB RAM, 2TB SSD",MySQL,HIPAA Compliance,High,$5408/year,438W,Yes,Not Configured,Not applicable,No issues,Q1 Server Review,Active,-,16/05/2026,-,28/08/2024
Srv331,Windows Server,Red Hat Enterprise Linux,25/02/2027,Delayed,Data Center,6 years,Application Server,Low,Yes,Not Started,Team Analytics Team,Quarterly checks,99.12% uptime,"16GB RAM, 1TB HDD",SQL Server,None,Moderate,$2757/year,346W,Yes,Not Configured,Defined,Need faster replacement,Q3 Risk Assessment,End of Support,Recycling planned,17/02/2028,-,28/08/2024
Srv332,Windows Server,Windows Server 2016,27/01/2025,Not Started,On-Premise,3 years,Application Server,High,No,N/A,Team IT Operations,Annual maintenance,99.67% uptime,"16GB RAM, 1TB HDD",MySQL,None,Moderate,$5299/year,366W,No,Incomplete,Not applicable,Need faster replacement,Q2 Budget Planning,Unsupported,Hardware recycling,1/08/2025,-,28/08/2024
Srv333,Windows Server,Windows Server 2016,8/03/2026,Not Started,On-Premise,10 years,File Storage,Medium,Yes,Not Started,Team Development Team,Monthly updates,99.84% uptime,"16GB RAM, 1TB HDD",Apache,HIPAA Compliance,None,$1800/year,517W,Yes,Up-to-date,Offsite backup plan,Need faster replacement,Q1 Server Review,End of Support,Hardware recycling,16/11/2025,-,28/08/2024
Srv334,Linux,Red Hat Enterprise Linux,16/01/2025,On Hold,Cloud,1 years,Development Server,High,Yes,Not Started,Team Development Team,Annual maintenance,99.51% uptime,"16GB RAM, 1TB HDD",SQL Server,GDPR Compliance,High,$1160/year,318W,No,Not Configured,Defined,No issues,Q2 Budget Planning,Active,Recycling planned,4/03/2026,-,28/08/2024
Srv335,Windows Server,Ubuntu 20.04,5/07/2026,In Progress,On-Premise,2 years,File Storage,Medium,No,N/A,Team Analytics Team,Monthly updates,99.12% uptime,"8GB RAM, 500GB SSD",SQL Server,None,None,$4971/year,514W,No,Not Configured,Not applicable,Need faster replacement,Q2 Budget Planning,Unsupported,Recycling planned,4/05/2029,See notes,28/08/2024
Srv336,Windows Server,Windows Server 2016,12/02/2025,Decommissioned,Data Center,2 years,Application Server,High,Yes,In Progress,Team IT Operations,Quarterly checks,99.23% uptime,"8GB RAM, 500GB SSD",None,GDPR Compliance,High,$2613/year,332W,No,Up-to-date,Defined,Need faster replacement,Q3 Risk Assessment,Active,Recycling planned,18/12/2024,See notes,28/08/2024
Srv337,Windows Server,Windows Server 2016,17/05/2026,Not Started,Cloud,1 years,File Storage,Low,No,N/A,Team Analytics Team,Monthly updates,99.67% uptime,"8GB RAM, 500GB SSD",Apache,GDPR Compliance,None,$5241/year,319W,Yes,Up-to-date,Defined,Need faster replacement,Q3 Risk Assessment,Unsupported,Recycling planned,20/09/2029,-,28/08/2024
Srv338,Linux,Ubuntu 20.04,14/08/2026,Decommissioned,Data Center,7 years,Development Server,High,No,Not Started,Team IT Operations,Annual maintenance,99.02% uptime,"8GB RAM, 500GB SSD",MySQL,HIPAA Compliance,High,$4196/year,345W,No,Up-to-date,Offsite backup plan,No issues,Q2 Budget Planning,Active,Recycling planned,29/10/2029,See notes,28/08/2024
Srv339,Windows Server,Ubuntu 20.04,28/03/2027,Decommissioned,Data Center,1 years,Development Server,Low,Yes,N/A,Team Analytics Team,Quarterly checks,99.77% uptime,"8GB RAM, 500GB SSD",MySQL,HIPAA Compliance,High,$4159/year,382W,No,Incomplete,Not applicable,Concerns about data migration,Q1 Server Review,End of Support,Hardware recycling,28/01/2030,-,28/08/2024
Srv340,Linux,Red Hat Enterprise Linux,15/05/2027,In Progress,Data Center,8 years,Application Server,Medium,No,N/A,Team Development Team,Monthly updates,99.16% uptime,"8GB RAM, 500GB SSD",Apache,GDPR Compliance,High,$1240/year,229W,No,Incomplete,Not applicable,Need faster replacement,Q2 Budget Planning,Unsupported,-,28/01/2029,-,28/08/2024
Srv341,Windows Server,Red Hat Enterprise Linux,1/01/2026,Decommissioned,Data Center,6 years,Application Server,High,Yes,Not Started,Team Development Team,Quarterly checks,99.38% uptime,"32GB RAM, 2TB SSD",MySQL,GDPR Compliance,High,$2711/year,436W,No,Incomplete,Not applicable,Need faster replacement,Q1 Server Review,Active,Recycling planned,10/08/2028,-,28/08/2024
Srv342,Linux,Red Hat Enterprise Linux,8/07/2026,In Progress,Cloud,9 years,Application Server,Low,No,N/A,Team Analytics Team,Monthly updates,99.71% uptime,"32GB RAM, 2TB SSD",SQL Server,HIPAA Compliance,None,$1379/year,285W,No,Incomplete,Offsite backup plan,Need faster replacement,Q2 Budget Planning,End of Support,-,14/05/2027,See notes,28/08/2024
Srv343,Windows Server,Red Hat Enterprise Linux,25/12/2024,In Progress,Data Center,10 years,Web Server,Low,No,In Progress,Team IT Operations,Annual maintenance,99.03% uptime,"16GB RAM, 1TB HDD",MySQL,GDPR Compliance,None,$4770/year,467W,Yes,Up-to-date,Not applicable,No issues,Q1 Server Review,End of Support,Hardware recycling,22/07/2029,See notes,28/08/2024
Srv344,Windows Server,Ubuntu 20.04,26/10/2026,Decommissioned,Cloud,7 years,Web Server,Low,No,Not Started,Team IT Operations,Annual maintenance,99.91% uptime,"32GB RAM, 2TB SSD",SQL Server,None,High,$2334/year,365W,No,Incomplete,Not applicable,Concerns about data migration,Q1 Server Review,Active,-,22/08/2028,See notes,28/08/2024
Srv345,Linux,Windows Server 2016,1/08/2025,Unknown,Cloud,4 years,Application Server,High,No,Completed,Team Development Team,Annual maintenance,99.43% uptime,"8GB RAM, 500GB SSD",Apache,GDPR Compliance,High,$1178/year,441W,Yes,Not Configured,Offsite backup plan,Concerns about data migration,Q1 Server Review,End of Support,Recycling planned,10/10/2024,-,28/08/2024
Srv346,Windows Server,Windows Server 2016,5/04/2026,Unknown,Data Center,2 years,Database Server,Low,Yes,Not Started,Team IT Operations,Monthly updates,99.88% uptime,"8GB RAM, 500GB SSD",Apache,HIPAA Compliance,Moderate,$2692/year,472W,No,Not Configured,Not applicable,Need faster replacement,Q1 Server Review,End of Support,Recycling planned,16/02/2027,See notes,28/08/2024
Srv347,Linux,Windows Server 2016,20/11/2025,Unknown,On-Premise,10 years,Web Server,Low,Yes,Completed,Team Analytics Team,Monthly updates,99.33% uptime,"8GB RAM, 500GB SSD",None,HIPAA Compliance,None,$3423/year,582W,No,Incomplete,Defined,Concerns about data migration,Q3 Risk Assessment,End of Support,Hardware recycling,14/09/2026,-,28/08/2024
Srv348,Windows Server,Red Hat Enterprise Linux,4/04/2027,Delayed,Cloud,10 years,Database Server,Medium,Yes,In Progress,Team IT Operations,Quarterly checks,99.36% uptime,"32GB RAM, 2TB SSD",Apache,None,None,$1698/year,400W,No,Not Configured,Not applicable,Need faster replacement,Q2 Budget Planning,End of Support,Recycling planned,20/01/2028,See notes,28/08/2024
Srv349,Windows Server,Red Hat Enterprise Linux,17/09/2026,Decommissioned,On-Premise,10 years,Application Server,Low,No,In Progress,Team IT Operations,Monthly updates,99.99% uptime,"8GB RAM, 500GB SSD",None,None,Moderate,$1191/year,327W,Yes,Incomplete,Not applicable,Need faster replacement,Q2 Budget Planning,Active,Hardware recycling,22/08/2027,See notes,28/08/2024
Srv350,Linux,Windows Server 2016,1/09/2025,Unknown,On-Premise,8 years,Development Server,Low,No,N/A,Team IT Operations,Quarterly checks,99.95% uptime,"16GB RAM, 1TB HDD",None,GDPR Compliance,Moderate,$4674/year,369W,No,Incomplete,Not applicable,Concerns about data migration,Q2 Budget Planning,Unsupported,Recycling planned,2/06/2029,-,28/08/2024
Srv351,Windows Server,Windows Server 2016,17/12/2024,Not Started,On-Premise,7 years,Application Server,Medium,No,Not Started,Team Development Team,Annual maintenance,99.35% uptime,"32GB RAM, 2TB SSD",None,None,High,$4084/year,321W,Yes,Up-to-date,Not applicable,No issues,Q3 Risk Assessment,Active,-,16/08/2026,See notes,28/08/2024
Srv352,Linux,Ubuntu 20.04,28/04/2025,Decommissioned,On-Premise,4 years,File Storage,High,No,In Progress,Team Development Team,Annual maintenance,99.21% uptime,"8GB RAM, 500GB SSD",None,GDPR Compliance,Moderate,$6452/year,585W,Yes,Not Configured,Not applicable,Need faster replacement,Q1 Server Review,Active,-,17/07/2027,See notes,28/08/2024
Srv353,Linux,Ubuntu 20.04,31/08/2026,Not Started,Data Center,7 years,Application Server,Medium,Yes,In Progress,Team Development Team,Monthly updates,99.83% uptime,"16GB RAM, 1TB HDD",MySQL,HIPAA Compliance,None,$3734/year,511W,Yes,Up-to-date,Offsite backup plan,Need faster replacement,Q1 Server Review,Active,Recycling planned,4/05/2027,See notes,28/08/2024
Srv354,Linux,Windows Server 2016,24/12/2024,On Hold,On-Premise,5 years,Development Server,Low,Yes,Completed,Team Development Team,Quarterly checks,99.46% uptime,"16GB RAM, 1TB HDD",MySQL,GDPR Compliance,None,$5150/year,255W,Yes,Incomplete,Offsite backup plan,Need faster replacement,Q3 Risk Assessment,Active,Recycling planned,19/05/2028,-,28/08/2024
Srv355,Windows Server,Red Hat Enterprise Linux,19/11/2024,Unknown,Data Center,1 years,Database Server,Low,Yes,N/A,Team Analytics Team,Quarterly checks,99.83% uptime,"16GB RAM, 1TB HDD",None,None,High,$3941/year,223W,No,Incomplete,Defined,No issues,Q1 Server Review,End of Support,-,26/01/2029,-,28/08/2024
Srv356,Linux,Red Hat Enterprise Linux,8/12/2025,On Hold,Data Center,2 years,Development Server,Medium,No,In Progress,Team IT Operations,Quarterly checks,99.84% uptime,"16GB RAM, 1TB HDD",MySQL,HIPAA Compliance,None,$5896/year,415W,No,Incomplete,Not applicable,Need faster replacement,Q2 Budget Planning,End of Support,-,18/11/2028,-,28/08/2024
Srv357,Linux,Windows Server 2016,2/02/2027,Unknown,Data Center,5 years,Application Server,Low,Yes,Not Started,Team Analytics Team,Annual maintenance,99.02% uptime,"32GB RAM, 2TB SSD",None,GDPR Compliance,None,$3612/year,515W,No,Not Configured,Defined,No issues,Q3 Risk Assessment,Active,Hardware recycling,21/08/2025,See notes,28/08/2024
Srv358,Windows Server,Ubuntu 20.04,15/02/2026,In Progress,Data Center,9 years,Web Server,Low,No,N/A,Team IT Operations,Monthly updates,99.12% uptime,"32GB RAM, 2TB SSD",MySQL,HIPAA Compliance,High,$2323/year,526W,Yes,Up-to-date,Defined,No issues,Q1 Server Review,Active,Hardware recycling,10/05/2029,-,28/08/2024
Srv359,Linux,Windows Server 2016,29/07/2025,Decommissioned,On-Premise,1 years,Application Server,High,Yes,N/A,Team Development Team,Monthly updates,99.87% uptime,"32GB RAM, 2TB SSD",SQL Server,GDPR Compliance,High,$4729/year,264W,No,Not Configured,Defined,Concerns about data migration,Q1 Server Review,Unsupported,Recycling planned,1/12/2026,See notes,28/08/2024
Srv360,Linux,Ubuntu 20.04,28/03/2026,Decommissioned,On-Premise,9 years,Database Server,High,Yes,Completed,Team IT Operations,Annual maintenance,99.68% uptime,"32GB RAM, 2TB SSD",SQL Server,None,High,$5914/year,350W,No,Not Configured,Not applicable,Concerns about data migration,Q2 Budget Planning,End of Support,-,29/11/2027,See notes,28/08/2024
Srv361,Windows Server,Windows Server 2016,14/10/2024,In Progress,Data Center,3 years,Database Server,High,Yes,Completed,Team Development Team,Annual maintenance,99.98% uptime,"32GB RAM, 2TB SSD",None,GDPR Compliance,High,$4941/year,296W,Yes,Up-to-date,Not applicable,Concerns about data migration,Q1 Server Review,End of Support,-,11/08/2027,See notes,28/08/2024
Srv362,Linux,Red Hat Enterprise Linux,15/05/2026,In Progress,Cloud,5 years,Application Server,Medium,No,In Progress,Team Development Team,Quarterly checks,99.94% uptime,"16GB RAM, 1TB HDD",Apache,GDPR Compliance,None,$6763/year,557W,Yes,Up-to-date,Defined,Concerns about data migration,Q3 Risk Assessment,Active,-,20/01/2030,See notes,28/08/2024
Srv363,Windows Server,Ubuntu 20.04,22/12/2024,In Progress,On-Premise,4 years,Development Server,Low,Yes,In Progress,Team Development Team,Annual maintenance,99.74% uptime,"8GB RAM, 500GB SSD",MySQL,HIPAA Compliance,None,$3186/year,524W,No,Up-to-date,Defined,No issues,Q3 Risk Assessment,End of Support,Recycling planned,19/09/2029,See notes,28/08/2024
Srv364,Windows Server,Red Hat Enterprise Linux,3/02/2026,Unknown,Data Center,3 years,File Storage,Medium,Yes,N/A,Team IT Operations,Annual maintenance,99.24% uptime,"8GB RAM, 500GB SSD",SQL Server,None,None,$4401/year,426W,Yes,Not Configured,Offsite backup plan,Need faster replacement,Q3 Risk Assessment,End of Support,Recycling planned,7/07/2028,See notes,28/08/2024
Srv365,Windows Server,Windows Server 2016,13/10/2024,Decommissioned,Data Center,2 years,Database Server,High,No,In Progress,Team Analytics Team,Monthly updates,99.42% uptime,"16GB RAM, 1TB HDD",None,HIPAA Compliance,High,$3859/year,433W,No,Up-to-date,Not applicable,Concerns about data migration,Q1 Server Review,Unsupported,Hardware recycling,15/07/2028,See notes,28/08/2024
Srv366,Linux,Windows Server 2016,4/12/2026,In Progress,On-Premise,10 years,Database Server,Low,Yes,N/A,Team Development Team,Annual maintenance,99.04% uptime,"32GB RAM, 2TB SSD",None,HIPAA Compliance,High,$6212/year,277W,Yes,Not Configured,Defined,Concerns about data migration,Q1 Server Review,End of Support,Recycling planned,14/05/2025,-,28/08/2024
Srv367,Linux,Red Hat Enterprise Linux,22/01/2026,Not Started,On-Premise,1 years,Database Server,Low,No,Completed,Team Development Team,Annual maintenance,99.56% uptime,"32GB RAM, 2TB SSD",Apache,HIPAA Compliance,Moderate,$1968/year,590W,No,Up-to-date,Defined,No issues,Q2 Budget Planning,Active,Hardware recycling,10/01/2029,-,28/08/2024
Srv368,Linux,Ubuntu 20.04,11/05/2026,Decommissioned,On-Premise,6 years,Web Server,High,No,Completed,Team Development Team,Quarterly checks,99.42% uptime,"32GB RAM, 2TB SSD",Apache,None,High,$6029/year,287W,No,Incomplete,Defined,Need faster replacement,Q3 Risk Assessment,Unsupported,Hardware recycling,2/02/2030,See notes,28/08/2024
Srv369,Windows Server,Windows Server 2016,23/07/2025,Delayed,On-Premise,9 years,Application Server,Medium,Yes,N/A,Team Analytics Team,Quarterly checks,99.77% uptime,"8GB RAM, 500GB SSD",None,HIPAA Compliance,None,$1630/year,318W,No,Incomplete,Offsite backup plan,No issues,Q1 Server Review,Unsupported,Hardware recycling,6/09/2028,See notes,28/08/2024
Srv370,Windows Server,Ubuntu 20.04,17/06/2025,Unknown,Data Center,1 years,Database Server,High,Yes,Completed,Team Development Team,Quarterly checks,99.01% uptime,"16GB RAM, 1TB HDD",Apache,None,High,$4126/year,300W,Yes,Up-to-date,Not applicable,Concerns about data migration,Q2 Budget Planning,Active,-,5/08/2029,See notes,28/08/2024
Srv371,Windows Server,Windows Server 2016,21/02/2026,Unknown,On-Premise,4 years,Web Server,Low,No,Completed,Team Analytics Team,Monthly updates,99.86% uptime,"8GB RAM, 500GB SSD",MySQL,HIPAA Compliance,None,$1815/year,262W,Yes,Up-to-date,Not applicable,No issues,Q3 Risk Assessment,Unsupported,Hardware recycling,30/10/2024,-,28/08/2024
Srv372,Windows Server,Ubuntu 20.04,24/04/2025,On Hold,Data Center,4 years,Database Server,Medium,Yes,N/A,Team IT Operations,Quarterly checks,99.53% uptime,"16GB RAM, 1TB HDD",Apache,GDPR Compliance,Moderate,$2169/year,590W,Yes,Incomplete,Offsite backup plan,Need faster replacement,Q3 Risk Assessment,End of Support,Recycling planned,19/02/2029,-,28/08/2024
Srv373,Linux,Red Hat Enterprise Linux,17/04/2027,Delayed,On-Premise,2 years,Application Server,Medium,Yes,Completed,Team IT Operations,Annual maintenance,99.07% uptime,"8GB RAM, 500GB SSD",Apache,GDPR Compliance,High,$1566/year,247W,No,Up-to-date,Offsite backup plan,Need faster replacement,Q2 Budget Planning,End of Support,-,18/11/2028,See notes,28/08/2024
Srv374,Windows Server,Windows Server 2016,8/09/2026,Delayed,Cloud,2 years,Application Server,Medium,Yes,Completed,Team Analytics Team,Annual maintenance,99.26% uptime,"16GB RAM, 1TB HDD",MySQL,HIPAA Compliance,None,$3268/year,357W,No,Not Configured,Offsite backup plan,Need faster replacement,Q3 Risk Assessment,Active,Hardware recycling,10/11/2029,-,28/08/2024
Srv375,Linux,Ubuntu 20.04,13/08/2025,In Progress,Data Center,9 years,Database Server,Low,No,Not Started,Team IT Operations,Monthly updates,99.50% uptime,"16GB RAM, 1TB HDD",SQL Server,HIPAA Compliance,High,$5740/year,340W,No,Up-to-date,Not applicable,Concerns about data migration,Q1 Server Review,End of Support,Recycling planned,24/01/2028,See notes,28/08/2024
Srv376,Linux,Windows Server 2016,25/10/2026,Decommissioned,On-Premise,6 years,Application Server,High,No,Not Started,Team IT Operations,Monthly updates,99.94% uptime,"16GB RAM, 1TB HDD",MySQL,GDPR Compliance,None,$4039/year,342W,No,Incomplete,Not applicable,Concerns about data migration,Q2 Budget Planning,Unsupported,Recycling planned,7/01/2025,See notes,28/08/2024
Srv377,Linux,Windows Server 2016,1/05/2027,Decommissioned,Data Center,5 years,Database Server,High,No,Completed,Team Development Team,Quarterly checks,99.55% uptime,"8GB RAM, 500GB SSD",None,HIPAA Compliance,Moderate,$2045/year,521W,No,Incomplete,Defined,Need faster replacement,Q2 Budget Planning,End of Support,Recycling planned,27/07/2026,See notes,28/08/2024
Srv378,Linux,Ubuntu 20.04,19/02/2026,In Progress,Cloud,3 years,Application Server,High,Yes,N/A,Team Development Team,Quarterly checks,99.61% uptime,"8GB RAM, 500GB SSD",SQL Server,GDPR Compliance,None,$3245/year,413W,No,Up-to-date,Not applicable,No issues,Q3 Risk Assessment,Active,Hardware recycling,14/06/2026,-,28/08/2024
Srv379,Windows Server,Red Hat Enterprise Linux,3/07/2025,Not Started,On-Premise,5 years,Web Server,High,Yes,Completed,Team Analytics Team,Monthly updates,99.48% uptime,"32GB RAM, 2TB SSD",None,GDPR Compliance,None,$4765/year,464W,Yes,Not Configured,Defined,Need faster replacement,Q2 Budget Planning,End of Support,Hardware recycling,11/05/2028,-,28/08/2024
Srv380,Windows Server,Windows Server 2016,25/11/2024,On Hold,Data Center,4 years,Application Server,Medium,No,In Progress,Team Development Team,Annual maintenance,99.24% uptime,"32GB RAM, 2TB SSD",SQL Server,None,None,$2765/year,508W,No,Not Configured,Defined,Need faster replacement,Q2 Budget Planning,Active,Hardware recycling,7/05/2029,-,28/08/2024
Srv381,Windows Server,Ubuntu 20.04,15/09/2026,Unknown,On-Premise,1 years,File Storage,Low,No,N/A,Team Analytics Team,Annual maintenance,99.96% uptime,"32GB RAM, 2TB SSD",SQL Server,HIPAA Compliance,High,$2034/year,203W,No,Not Configured,Defined,No issues,Q2 Budget Planning,Active,Hardware recycling,20/02/2029,See notes,28/08/2024
Srv382,Windows Server,Windows Server 2016,2/02/2026,In Progress,Data Center,5 years,Database Server,High,Yes,In Progress,Team Analytics Team,Quarterly checks,99.42% uptime,"16GB RAM, 1TB HDD",None,GDPR Compliance,None,$3267/year,364W,Yes,Up-to-date,Defined,Concerns about data migration,Q3 Risk Assessment,Active,Hardware recycling,25/12/2024,See notes,28/08/2024
Srv383,Windows Server,Ubuntu 20.04,9/11/2026,In Progress,Data Center,5 years,Web Server,Medium,No,Completed,Team Development Team,Annual maintenance,99.28% uptime,"8GB RAM, 500GB SSD",SQL Server,GDPR Compliance,High,$4712/year,203W,No,Incomplete,Not applicable,No issues,Q2 Budget Planning,Active,Hardware recycling,3/02/2026,-,28/08/2024
Srv384,Windows Server,Windows Server 2016,31/03/2027,On Hold,Data Center,4 years,File Storage,High,Yes,N/A,Team Development Team,Quarterly checks,99.23% uptime,"8GB RAM, 500GB SSD",MySQL,HIPAA Compliance,High,$6720/year,439W,No,Incomplete,Offsite backup plan,Concerns about data migration,Q2 Budget Planning,Unsupported,-,19/11/2024,-,28/08/2024
Srv385,Windows Server,Ubuntu 20.04,26/12/2025,Decommissioned,Data Center,9 years,File Storage,High,Yes,Not Started,Team IT Operations,Monthly updates,99.97% uptime,"16GB RAM, 1TB HDD",MySQL,None,None,$2344/year,231W,Yes,Incomplete,Offsite backup plan,Need faster replacement,Q2 Budget Planning,Active,Recycling planned,7/04/2025,-,28/08/2024
Srv386,Windows Server,Ubuntu 20.04,28/02/2027,On Hold,On-Premise,9 years,Application Server,Low,Yes,Completed,Team Analytics Team,Monthly updates,99.71% uptime,"16GB RAM, 1TB HDD",MySQL,None,None,$1640/year,465W,Yes,Not Configured,Defined,Need faster replacement,Q2 Budget Planning,End of Support,Recycling planned,14/10/2025,See notes,28/08/2024
Srv387,Windows Server,Red Hat Enterprise Linux,14/03/2026,In Progress,Cloud,7 years,Web Server,High,Yes,Completed,Team Development Team,Quarterly checks,99.32% uptime,"16GB RAM, 1TB HDD",None,GDPR Compliance,Moderate,$4698/year,475W,Yes,Not Configured,Defined,Concerns about data migration,Q1 Server Review,End of Support,Hardware recycling,16/09/2027,-,28/08/2024
Srv388,Windows Server,Windows Server 2016,26/04/2026,On Hold,Cloud,2 years,Development Server,Low,No,Completed,Team Analytics Team,Annual maintenance,99.83% uptime,"32GB RAM, 2TB SSD",SQL Server,GDPR Compliance,None,$6130/year,488W,Yes,Incomplete,Defined,No issues,Q1 Server Review,Unsupported,-,5/01/2028,See notes,28/08/2024
Srv389,Windows Server,Ubuntu 20.04,31/03/2025,Unknown,Cloud,6 years,Application Server,High,Yes,N/A,Team IT Operations,Annual maintenance,99.90% uptime,"16GB RAM, 1TB HDD",SQL Server,GDPR Compliance,High,$4131/year,523W,No,Up-to-date,Not applicable,Need faster replacement,Q2 Budget Planning,Unsupported,Recycling planned,27/12/2026,See notes,28/08/2024
Srv390,Windows Server,Windows Server 2016,19/03/2026,Decommissioned,On-Premise,5 years,Database Server,High,No,Not Started,Team Analytics Team,Monthly updates,99.73% uptime,"8GB RAM, 500GB SSD",MySQL,None,High,$4432/year,574W,No,Incomplete,Not applicable,Need faster replacement,Q2 Budget Planning,End of Support,Recycling planned,26/04/2029,See notes,28/08/2024
Srv391,Windows Server,Windows Server 2016,4/10/2025,On Hold,Cloud,6 years,File Storage,Medium,Yes,N/A,Team Analytics Team,Annual maintenance,99.94% uptime,"16GB RAM, 1TB HDD",MySQL,GDPR Compliance,Moderate,$5758/year,255W,No,Up-to-date,Defined,Need faster replacement,Q3 Risk Assessment,Active,Hardware recycling,7/01/2028,See notes,28/08/2024
Srv392,Windows Server,Ubuntu 20.04,19/04/2026,Delayed,Cloud,2 years,Web Server,High,Yes,In Progress,Team Analytics Team,Monthly updates,99.52% uptime,"16GB RAM, 1TB HDD",SQL Server,None,None,$4028/year,272W,No,Up-to-date,Offsite backup plan,Concerns about data migration,Q3 Risk Assessment,Active,Hardware recycling,12/03/2029,-,28/08/2024
Srv393,Windows Server,Red Hat Enterprise Linux,14/11/2024,Delayed,On-Premise,1 years,Development Server,Low,No,In Progress,Team Analytics Team,Quarterly checks,99.20% uptime,"16GB RAM, 1TB HDD",MySQL,GDPR Compliance,Moderate,$4952/year,502W,No,Incomplete,Not applicable,No issues,Q1 Server Review,Unsupported,-,14/11/2026,See notes,28/08/2024
Srv394,Windows Server,Red Hat Enterprise Linux,22/03/2027,Unknown,Data Center,3 years,Web Server,Medium,No,Not Started,Team Development Team,Quarterly checks,99.30% uptime,"8GB RAM, 500GB SSD",Apache,None,High,$5039/year,570W,Yes,Up-to-date,Offsite backup plan,Concerns about data migration,Q3 Risk Assessment,Unsupported,-,18/04/2026,See notes,28/08/2024
Srv395,Windows Server,Ubuntu 20.04,14/07/2025,In Progress,Data Center,5 years,Application Server,High,No,In Progress,Team Analytics Team,Quarterly checks,99.21% uptime,"16GB RAM, 1TB HDD",SQL Server,None,High,$3713/year,241W,No,Up-to-date,Not applicable,No issues,Q3 Risk Assessment,Active,Recycling planned,22/05/2028,See notes,28/08/2024
Srv396,Windows Server,Windows Server 2016,18/05/2027,Unknown,Data Center,8 years,Application Server,High,No,In Progress,Team IT Operations,Annual maintenance,99.69% uptime,"32GB RAM, 2TB SSD",SQL Server,None,None,$5576/year,333W,Yes,Incomplete,Offsite backup plan,No issues,Q2 Budget Planning,End of Support,Recycling planned,5/11/2027,See notes,28/08/2024
Srv397,Windows Server,Windows Server 2016,25/10/2026,Decommissioned,Cloud,10 years,Application Server,High,Yes,Completed,Team Development Team,Monthly updates,99.35% uptime,"32GB RAM, 2TB SSD",Apache,GDPR Compliance,None,$3186/year,212W,Yes,Up-to-date,Defined,No issues,Q3 Risk Assessment,End of Support,-,15/03/2026,-,28/08/2024
Srv398,Windows Server,Red Hat Enterprise Linux,7/04/2025,On Hold,Cloud,10 years,Database Server,Medium,No,In Progress,Team Analytics Team,Quarterly checks,99.48% uptime,"32GB RAM, 2TB SSD",SQL Server,None,High,$6267/year,409W,No,Incomplete,Offsite backup plan,No issues,Q3 Risk Assessment,Unsupported,Hardware recycling,13/02/2028,See notes,28/08/2024
Srv399,Windows Server,Windows Server 2016,2/05/2027,On Hold,Data Center,8 years,File Storage,Medium,Yes,N/A,Team IT Operations,Monthly updates,99.49% uptime,"32GB RAM, 2TB SSD",Apache,HIPAA Compliance,High,$6270/year,288W,Yes,Incomplete,Not applicable,No issues,Q3 Risk Assessment,End of Support,Hardware recycling,13/10/2028,See notes,28/08/2024
Srv400,Linux,Windows Server 2016,9/03/2025,Not Started,On-Premise,7 years,File Storage,Low,Yes,N/A,Team Development Team,Quarterly checks,99.05% uptime,"32GB RAM, 2TB SSD",SQL Server,HIPAA Compliance,High,$1244/year,372W,Yes,Up-to-date,Offsite backup plan,Concerns about data migration,Q1 Server Review,Active,-,3/04/2028,-,28/08/2024
Srv401,Windows Server,Ubuntu 20.04,22/12/2026,Not Started,On-Premise,7 years,Application Server,High,No,N/A,Team Development Team,Quarterly checks,99.07% uptime,"32GB RAM, 2TB SSD",None,HIPAA Compliance,None,$1509/year,467W,Yes,Incomplete,Defined,Need faster replacement,Q2 Budget Planning,End of Support,Hardware recycling,17/06/2025,-,28/08/2024
Srv402,Windows Server,Windows Server 2016,19/09/2026,Delayed,Data Center,5 years,Database Server,Low,Yes,Not Started,Team Development Team,Annual maintenance,99.64% uptime,"16GB RAM, 1TB HDD",MySQL,GDPR Compliance,Moderate,$1504/year,328W,No,Up-to-date,Offsite backup plan,No issues,Q3 Risk Assessment,End of Support,Recycling planned,14/12/2024,See notes,28/08/2024
Srv403,Linux,Ubuntu 20.04,7/10/2026,On Hold,Cloud,4 years,Application Server,Low,No,Completed,Team IT Operations,Quarterly checks,99.92% uptime,"32GB RAM, 2TB SSD",Apache,GDPR Compliance,None,$5834/year,210W,Yes,Up-to-date,Not applicable,Concerns about data migration,Q2 Budget Planning,Unsupported,-,8/02/2025,See notes,28/08/2024
